area,month,lst_avg,lst_max,lst_min,lst_volatility,ndvi_avg,ndvi_peak,ndvi_volatility,no2_avg,no2_peak,no2_volatility
Chandkheda,2018-01-01,29.510672628144256,30.26107554417417,26.999526248399512,0.9119379157454964,0.19208200145403162,0.2090577922072521,0.01063501886447858,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-02-01,33.216202784891195,36.23046734955188,30.30397567221514,2.0798459124788544,0.1731136840222059,0.17746908336752346,0.001925268110869085,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-03-01,39.12269309404819,42.21263764404614,36.52358194622282,1.7950009915441643,0.17425154312274832,0.18253594987727775,0.005701927528530633,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-04-01,42.9757759282971,44.36080665813064,40.67655569782335,1.324875320575836,0.14661458767583355,0.15885893184221359,0.003956929018822422,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-05-01,43.58330252777666,44.672663252240746,40.64834186939824,1.0396078324137565,0.13986890751081102,0.14564645349422928,0.006135624383258719,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-06-01,37.460214895433246,40.20157810499362,34.95594110115241,1.2200838145365673,0.1403420536806506,0.14900015108398362,0.0052566046672721176,0.0001233385332177,0.0001233385332177,0.0
Chandkheda,2018-07-01,34.33693768672645,36.62214095177127,32.05173442168163,1.3851563263655993,0.15855391373593727,0.16751056622214383,0.005428997955717622,0.000123279794057043,0.0002275074360624,4.253854052631231e-05
Chandkheda,2018-08-01,31.28329640771623,31.899387537345305,30.911034958709756,0.20168129071480845,0.17706432887409748,0.18602098136030404,0.005428997955717628,8.980947338432563e-05,0.00020383619530400001,2.7519092174023505e-05
Chandkheda,2018-09-01,34.17122538441662,37.14208706786175,30.66736235595394,2.247588683335968,0.19527618892938417,0.20393428633271715,0.00525660466727213,9.947594871243551e-05,0.0001489859576161,2.289178218216673e-05
Chandkheda,2018-10-01,36.76993226219491,37.71660691421259,35.76561779769529,0.5239909359222579,0.19979742312583879,0.20691983716145268,0.004177590371900059,0.0001502938763262983,0.0003971112240667,5.7253724106542124e-05
Chandkheda,2018-11-01,33.92948570209136,35.6092829705506,31.00802816901412,1.4069074881807184,0.18419782218205236,0.1974479323366983,0.0059214111039328525,0.00014479429363542753,0.0002989117945531,4.3812871520674266e-05
Chandkheda,2018-12-01,28.615933666515254,30.757067861715782,27.36080665813064,0.9048216986547456,0.17593016757740423,0.18523319835686777,0.009219740517067709,0.0001449143503226971,0.0002616597710599,4.269447344601681e-05
Chandkheda,2019-01-01,28.03773160959897,29.39773367477595,27.12096030729837,0.6201974872480253,0.15241459568525548,0.17069518568977124,0.012326680220024507,0.00014539067872849,0.0002849297895884,5.367468236054817e-05
Chandkheda,2019-02-01,31.948606411194465,34.729231754161354,27.623239436619752,2.3350950468198275,0.1385013369858852,0.15058428568762727,0.009704372105805418,0.00013056639134269882,0.0002462398132148,4.553376904814305e-05
Chandkheda,2019-03-01,39.32883524018011,44.43642125480157,34.10954545454547,3.306312370411467,0.14026285442737496,0.15344398038181975,0.008161021332960374,0.0001296383830506354,0.0003098119226594,4.830990694303758e-05
Chandkheda,2019-04-01,44.7303621425523,46.33340588988479,43.43453265044816,0.7423740881756702,0.14078586293305662,0.1486192519084628,0.003251355698503445,0.00012452887978790222,0.00021743941847319998,3.26312537378142e-05
Chandkheda,2019-05-01,43.242913654950264,44.65386683738799,41.87074263764408,0.7908797256939067,0.1287757691805279,0.13812017114760866,0.006576168536976493,0.00010721288948711729,0.0001363964469398,1.574272338644271e-05
