LST,area,date
35.999756722151126,Chandkheda,2020-10-07
37.4135083226633,Chandkheda,2020-10-15
37.13391805377724,Chandkheda,2020-10-23
34.11104993597955,Chandkheda,2020-10-31
32.3625992317542,Chandkheda,2020-11-08
32.221984635083246,Chandkheda,2020-11-16
31.500627400768288,Chandkheda,2020-11-24
32.021651728553174,Chandkheda,2020-12-02
29.61276568501923,Chandkheda,2020-12-10
27.728847631242047,Chandkheda,2020-12-18
27.00994878361081,Chandkheda,2020-12-26
26.71010243277851,Chandkheda,2021-01-01
28.39563380281693,Chandkheda,2021-01-09
29.0339948783611,Chandkheda,2021-01-17
27.13220230473755,Chandkheda,2021-01-25
29.311715749039724,Chandkheda,2021-02-02
32.06669654289375,Chandkheda,2021-02-10
34.66969270166455,Chandkheda,2021-02-18
37.45017925736241,Chandkheda,2021-02-26
38.516171574904,Chandkheda,2021-03-06
37.40454545454548,Chandkheda,2021-03-14
40.98595390524972,Chandkheda,2021-03-22
41.96536491677341,Chandkheda,2021-03-30
43.03850192061463,Chandkheda,2021-04-07
43.47335467349557,Chandkheda,2021-04-15
42.831664532650464,Chandkheda,2021-04-23
44.52551856594113,Chandkheda,2021-05-01
43.56713188220233,Chandkheda,2021-05-09
34.58236875800261,Chandkheda,2021-05-17
37.21291933418698,Chandkheda,2021-05-25
35.365979513444344,Chandkheda,2021-06-02
34.969743918053815,Chandkheda,2021-06-10
34.549308578745226,Chandkheda,2021-06-18
34.12887323943664,Chandkheda,2021-06-26
38.006645326504525,Chandkheda,2021-07-04
37.1989244558259,Chandkheda,2021-07-12
36.39120358514729,Chandkheda,2021-07-20
35.583482714468666,Chandkheda,2021-07-28
34.77576184379004,Chandkheda,2021-08-05
33.96804097311143,Chandkheda,2021-08-13
33.160320102432806,Chandkheda,2021-08-21
37.04359795134447,Chandkheda,2021-08-29
36.328476312420015,Chandkheda,2021-09-06
35.61335467349556,Chandkheda,2021-09-14
34.8982330345711,Chandkheda,2021-09-22
34.18311139564664,Chandkheda,2021-09-30
34.60257362355957,Chandkheda,2021-10-08
34.74382842509606,Chandkheda,2021-10-16
34.19601792573627,Chandkheda,2021-10-24
33.3954801536492,Chandkheda,2021-11-01
32.13297055057621,Chandkheda,2021-11-09
33.11522407170297,Chandkheda,2021-11-17
32.56011523687583,Chandkheda,2021-11-25
28.837733674775954,Chandkheda,2021-12-03
28.824110115236905,Chandkheda,2021-12-11
27.593713188220264,Chandkheda,2021-12-19
24.69816983894584,Chandkheda,2021-12-27
28.6087719298246,Chandkheda,2022-01-01
24.69394366197186,Chandkheda,2022-01-09
22.81906530089633,Chandkheda,2022-01-17
27.94014084507045,Chandkheda,2022-01-25
29.23028169014089,Chandkheda,2022-02-02
31.28705505761848,Chandkheda,2022-02-10
