area,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndvi_count,date
Chandkheda,0.19306052051276948,0.182321905522217,0.2095744039809773,0.012628358356210073,6,2018-01-01
Chandkheda,0.17314551034057732,0.1693451642149659,0.1770240982018996,0.0028184585140843803,8,2018-02-01
Chandkheda,0.17394672569757555,0.1649315158090746,0.1826188654854881,0.007817256761993395,6,2018-03-01
Chandkheda,0.14437825550635514,0.1442590008538437,0.1444975101588666,0.00016865154695780825,2,2018-04-01
Chandkheda,0.13747098455427925,0.1292580741986492,0.1456987948348954,0.00944036462049098,4,2018-05-01
Chandkheda,0.20018164402345828,0.1929653093531716,0.2071148972112307,0.006134085709516205,6,2018-10-01
Chandkheda,0.18239825767270146,0.17559905326932,0.1865557896310122,0.0050532119386666845,6,2018-11-01
Chandkheda,0.17385919219979534,0.1554347810045254,0.1850545828712451,0.01061786242922691,10,2018-12-01
Chandkheda,0.15494440156478728,0.1282351590294764,0.1695941428588293,0.014903462369366719,10,2019-01-01
Chandkheda,0.13813958708533158,0.1213981170747298,0.1502961280139012,0.011755577468631163,12,2019-02-01
Chandkheda,0.14094733833100606,0.1161312304887478,0.1534603709954999,0.009887359666731576,12,2019-03-01
Chandkheda,0.14104655563804572,0.1349668740298798,0.1486794080693635,0.0046681857629580215,12,2019-04-01
Chandkheda,0.12860115531069125,0.1132610143360656,0.1382356128328233,0.007858874103483975,12,2019-05-01
Chandkheda,0.1804239398914133,0.0702924027200518,0.2152379235737163,0.057292737945404584,10,2019-10-01
Chandkheda,0.176588753175884,0.14456451484594,0.205387672376298,0.021159640988654128,10,2019-11-01
Chandkheda,0.19062194705601104,0.1336135484565955,0.3161673297323562,0.06735047662832727,10,2019-12-01
Chandkheda,0.14145671067407328,0.1044350110798841,0.1621974584735191,0.02799082853728999,6,2020-01-01
Chandkheda,0.14916192749765197,0.1218348618353818,0.1599812021556734,0.013040845980836392,12,2020-02-01
Chandkheda,0.14846782055426921,0.1257306614246534,0.1597379263887087,0.010776497807220429,9,2020-03-01
Chandkheda,0.14431552455065302,0.1196483412872247,0.1582632413756949,0.013608213997993177,12,2020-04-01
Chandkheda,0.1315967091286304,0.1154336084324313,0.1491946610205028,0.013831219688518198,10,2020-05-01
Chandkheda,0.17908724075570223,0.0591101890268472,0.211970894947798,0.06272743787848838,10,2020-10-01
Chandkheda,0.18999158894807122,0.1705279183422477,0.2013283021921239,0.011137161487313996,10,2020-11-01
Chandkheda,0.18123603891545334,0.1383836443304439,0.1949743918828131,0.020253541840511105,12,2020-12-01
Chandkheda,0.15633722206067438,0.1122720562639428,0.1717061603913617,0.023304402287503818,10,2021-01-01
Chandkheda,0.16138044579399358,0.1486618192737505,0.1707176786664623,0.007759147819129863,10,2021-02-01
Chandkheda,0.15452952289070127,0.148351111446668,0.1630513198188853,0.005025008514314313,10,2021-03-01
Chandkheda,0.14932234558989452,0.1358771410797049,0.1635587015499806,0.01087861356580263,12,2021-04-01
Chandkheda,0.12793412932626752,0.1093080292545883,0.1427697517064234,0.01529241233301669,7,2021-05-01
Chandkheda,0.21247605136006373,0.1987744380411227,0.2278069880836075,0.012809418800266576,6,2021-10-01
Chandkheda,0.19629519600196155,0.1786181885803694,0.2084300002398469,0.011764944016094916,10,2021-11-01
Chandkheda,0.1725238491936444,0.1547516581959365,0.1974750216677948,0.013730889915054964,7,2021-12-01
Chandkheda,0.14872195010555775,0.1156130413081677,0.1741843362504388,0.027118262491711682,8,2022-01-01
Chandkheda,0.15578508605237143,0.1453101963078583,0.1624641636873796,0.00637833923612007,12,2022-02-01
Chandkheda,0.1539426448383499,0.1499365459267302,0.1582250276384767,0.003711388418937843,8,2022-03-01
Chandkheda,0.15343943749849723,0.1444063093715289,0.1705862111566366,0.00960917363601613,9,2022-04-01
Chandkheda,0.1289248600797368,0.124713108205059,0.1321824479933696,0.0032975417481651407,8,2022-05-01
Chandkheda,0.21192386010084227,0.1947214748320787,0.2194811921152845,0.009403443352444581,10,2022-10-01
Chandkheda,0.18233308989351255,0.1183440799248363,0.2087876593706946,0.033143863078093846,10,2022-11-01
