NDVI,area,date
0.1730884824944984,Naroda,2018-01-03
0.1720030124196503,Naroda,2018-01-03
0.154978981979804,Naroda,2018-01-18
0.1538746129696395,Naroda,2018-01-18
0.1585694727876151,Naroda,2018-01-23
0.1587652139654328,Naroda,2018-01-23
0.1512943542680246,Naroda,2018-02-02
0.151075588838467,Naroda,2018-02-02
0.1450132816986323,Naroda,2018-02-07
0.1449178687886152,Naroda,2018-02-07
0.1471620525226016,Naroda,2018-02-22
0.1467315533961997,Naroda,2018-02-22
0.1441872283191008,Naroda,2018-02-27
0.1434489124592327,Naroda,2018-02-27
0.1464929855747618,Naroda,2018-03-04
0.1465938178544454,Naroda,2018-03-04
0.1589151171590619,Naroda,2018-03-14
0.158770413081575,Naroda,2018-03-14
0.1448840780598223,Naroda,2018-03-29
0.1450587829853893,Naroda,2018-03-29
0.1245026568792395,Naroda,2018-04-08
0.1246679091860362,Naroda,2018-04-08
0.1274398867879392,Naroda,2018-05-13
0.1272401409744598,Naroda,2018-05-13
0.1149275020346021,Naroda,2018-05-28
0.1150757435302262,Naroda,2018-05-28
0.1934996399422514,Naroda,2018-10-05
0.1927750944312998,Naroda,2018-10-05
0.1677095670415851,Naroda,2018-10-20
0.1670591520329697,Naroda,2018-10-20
0.1774073547033063,Naroda,2018-10-30
0.1757395182793374,Naroda,2018-10-30
0.1622445735621583,Naroda,2018-11-09
0.1604638045497368,Naroda,2018-11-09
0.1480238623753915,Naroda,2018-11-24
0.1473329052413718,Naroda,2018-11-24
0.1595292184003167,Naroda,2018-11-29
0.159156932772799,Naroda,2018-11-29
0.1583791355226672,Naroda,2018-12-09
0.1603264966785576,Naroda,2018-12-09
0.1540256873762542,Naroda,2018-12-14
0.1555131331729003,Naroda,2018-12-14
0.1540617355269286,Naroda,2018-12-19
0.1533694196027775,Naroda,2018-12-19
0.1323271560169321,Naroda,2018-12-24
0.1324549317331468,Naroda,2018-12-24
0.1543894784960907,Naroda,2018-12-29
0.1535401816205393,Naroda,2018-12-29
0.1493478776427192,Naroda,2019-01-03
0.1481894863356684,Naroda,2019-01-03
0.1474520760933109,Naroda,2019-01-08
0.1475835147497405,Naroda,2019-01-08
0.1163840224456385,Naroda,2019-01-13
0.1191528360887532,Naroda,2019-01-13
0.1418045989580973,Naroda,2019-01-23
0.1403395932473517,Naroda,2019-01-23
0.146863264111149,Naroda,2019-01-28
0.1464759711258559,Naroda,2019-01-28
0.1348150778478755,Naroda,2019-02-02
0.1349605816448783,Naroda,2019-02-02
0.1006367023315562,Naroda,2019-02-07
0.0975231734336519,Naroda,2019-02-07
0.1344632454114211,Naroda,2019-02-12
0.1336827740991221,Naroda,2019-02-12
0.1347301675234636,Naroda,2019-02-17
0.134618698480005,Naroda,2019-02-17
0.1115501553578658,Naroda,2019-02-22
0.1114177329549007,Naroda,2019-02-22
0.0943674974395262,Naroda,2019-02-27
0.0931792535461272,Naroda,2019-02-27
0.1234599595275905,Naroda,2019-03-04
0.1016119735432822,Naroda,2019-03-04
0.1308029420067769,Naroda,2019-03-09
0.1307238303515974,Naroda,2019-03-09
0.1415177065298349,Naroda,2019-03-14
0.141503835587619,Naroda,2019-03-14
0.1379323202472031,Naroda,2019-03-19
0.1369246211771298,Naroda,2019-03-19
0.1228332300411307,Naroda,2019-03-24
0.124515401097339,Naroda,2019-03-24
0.1290907024801287,Naroda,2019-03-29
0.1293142041661618,Naroda,2019-03-29
0.12936858588643,Naroda,2019-04-03
0.1270744326116939,Naroda,2019-04-03
0.1279624641899119,Naroda,2019-04-08
0.1285466189165364,Naroda,2019-04-08
0.1251140841620587,Naroda,2019-04-13
0.1258153043927426,Naroda,2019-04-13
0.1476993824287187,Naroda,2019-04-18
0.1479563869728266,Naroda,2019-04-18
0.1295772656919809,Naroda,2019-04-23
0.127120785722969,Naroda,2019-04-23
