area,no2_mean,no2_min,no2_max,no2_std,no2_count,date
Gota,0.00011689249509333825,6.309017656425284e-05,0.0002238287007941,3.057641461230977e-05,50,2023-04-01
Gota,0.00010697025719889501,7.481807122387394e-05,0.0002008835884862,2.2132950487643278e-05,50,2023-05-01
Gota,0.000101053624244063,6.1077385907984e-05,0.0001423062443059,1.775383953931173e-05,49,2023-06-01
Gota,9.166497432545232e-05,4.3191740803878656e-05,0.0001289758730188,1.7365851553437753e-05,48,2023-07-01
Gota,7.64073573686508e-05,5.2084386978491255e-05,9.25650828569172e-05,8.526812195339012e-06,51,2023-08-01
Gota,9.378171852521309e-05,7.53433213862246e-05,0.0001140834213899,8.038786629298085e-06,48,2023-09-01
Gota,0.00012517952454799052,8.709594873839384e-05,0.000194230697504,3.137676199575939e-05,48,2023-10-01
Gota,0.00013061512077321266,6.789926555939412e-05,0.0002507302172454,4.832093235724849e-05,49,2023-11-01
Gota,0.00010594255363144101,6.910898082422784e-05,0.0001702752715028,2.303828243530322e-05,53,2023-12-01
Gota,0.0001246255073390611,8.477397784305422e-05,0.0003160395355601,3.562097603455979e-05,52,2024-01-01
Gota,0.00010962902185247838,4.4554778112648005e-05,0.0001726659309061,3.24873318333994e-05,50,2024-02-01
Gota,0.00011232628228039469,7.189020726505153e-05,0.0001670995604497,2.59900474113662e-05,49,2024-03-01
Gota,0.00010710273722670284,6.763680133903087e-05,0.0001887559051764,3.0869162691672226e-05,46,2024-04-01
Gota,0.00010248489637294381,6.18028758126169e-05,0.0001687460317043,1.676211847164945e-05,53,2024-05-01
Gota,0.00010039804220834547,5.358170090835036e-05,0.0001638982382246,1.8394167465567757e-05,51,2024-06-01
Gota,8.508614746458276e-05,5.440312311893548e-05,0.000145681504885,2.0013010224373654e-05,47,2024-07-01
Gota,7.466013687397244e-05,6.048593038984521e-05,0.0001047789504033,1.1115631478452373e-05,52,2024-08-01
Gota,8.229261379012312e-05,5.273994905153032e-05,0.0001354485592436,1.5529424464054284e-05,50,2024-09-01
Gota,0.00012744277695737172,5.390876402062024e-05,0.0002758914999357,4.158989739120457e-05,52,2024-10-01
Gota,0.00012570296454822566,7.961854986081348e-05,0.0002266878394688,3.0121108647866333e-05,46,2024-11-01
Gota,0.00011881026256773525,8.235221369334405e-05,0.0002224203660709,3.0295934855987568e-05,48,2024-12-01
Gota,0.00011679154498014582,7.33597726546446e-05,0.0002201563621021,3.1294610246439165e-05,52,2025-01-01
Gota,0.0001217070569429154,8.382922073392112e-05,0.000216428477958,2.971116019355343e-05,51,2025-02-01
Gota,0.00012227984770598073,7.171296524442738e-05,0.0002377782715395,4.034177667027956e-05,68,2025-03-01
Gota,0.00010466222030370987,8.047656139649579e-05,0.0001832464141146,2.1590311107716257e-05,86,2025-04-01
Gota,0.00011519571411728574,9.734817148726057e-05,0.0001419887050651,1.1232490293216371e-05,80,2025-05-01
Gota,9.26510060472175e-05,6.436654213668629e-05,0.0001452013821108,1.5401262711611055e-05,60,2025-06-01
Gota,8.051033046782139e-05,5.324095857671348e-05,9.90949684754392e-05,9.245758063628186e-06,54,2025-07-01
Gota,7.85815371176787e-05,5.15395120440832e-05,0.0001065940305125,1.1882412275850668e-05,53,2025-08-01
Gota,8.7069607407465e-05,6.0290615830381854e-05,0.0001203584444683,1.1960853181811784e-05,61,2025-09-01
Gota,0.000100865479720908,6.740768841526281e-05,0.0002394336029979,2.5601065926329592e-05,55,2025-10-01
Gota,0.00010897541914252004,6.360249499040044e-05,0.0002229497557175,2.9907920485278423e-05,46,2025-11-01
Gota,0.00013675165203430947,8.957868807048504e-05,0.0002343940697541,3.612969938398736e-05,50,2025-12-01
Gota,0.00010449204907147707,7.373866585015522e-05,0.0001523023053455,1.8866680934735164e-05,51,2026-01-01
Gota,0.00010737879947856983,6.402496586085378e-05,0.0001866109501645,2.9225380811399357e-05,48,2026-02-01
Gota,0.00010886198556276047,8.222454682563451e-05,0.000191265817526,2.4388013095198968e-05,35,2026-03-01
Isanpur,9.791230404392043e-05,6.281089138759598e-05,0.0001779297375874,2.4217577754101477e-05,35,2018-07-01
Isanpur,9.350444560286536e-05,5.975145705089827e-05,0.0002423395971323,3.524286561542425e-05,39,2018-08-01
Isanpur,0.00012381244293866906,6.695437543960979e-05,0.0002759101765557,5.554240143032232e-05,45,2018-09-01
Isanpur,0.00017753793115866736,0.0001010475098155,0.0003385665495582,5.0754332554007886e-05,46,2018-10-01
Isanpur,0.000159333298832071,8.456296641616493e-05,0.0002768412626317,4.3725330963781384e-05,45,2018-11-01
Isanpur,0.000173010590627308,0.0001025971068884,0.0003999628233811,5.297675438555523e-05,50,2018-12-01
Isanpur,0.00018003362812515645,9.175860173348224e-05,0.0003612405172537,7.541826670986378e-05,53,2019-01-01
