area,lst_mean,lst_min,lst_max,lst_std,lst_count,date
Chandkheda,29.16934699103716,26.999526248399512,30.033687580025628,1.4575429228878303,4,2018-01-01
Chandkheda,33.07971190781053,30.346875800256115,35.64423815621001,2.567054209746883,4,2018-02-01
Chandkheda,39.560627400768276,37.574891165172886,42.21263764404614,2.1806128124799806,4,2018-03-01
Chandkheda,42.88993171148105,40.67655569782335,44.36080665813064,1.951129713912539,3,2018-04-01
Chandkheda,43.94791933418697,43.32892445582591,44.672663252240746,0.5671432189266895,4,2018-05-01
Chandkheda,37.674320315834436,34.95594110115241,39.75481434058901,2.0546042636772834,4,2018-06-01
Chandkheda,34.33693768672645,32.50877507469059,36.165100298762304,1.5734318556830948,4,2018-07-01
Chandkheda,31.225748276145637,30.99225915962836,31.317155963302763,0.15605370857582665,4,2018-08-01
Chandkheda,34.641370038412326,30.66736235595394,37.14208706786175,2.7828544451437396,4,2018-09-01
Chandkheda,36.88492104139995,36.07819462227915,37.71660691421259,0.8194912692250552,3,2018-10-01
Chandkheda,34.30897567221514,32.2628297055058,35.6092829705506,1.4415163352202174,4,2018-11-01
Chandkheda,28.629097311139596,27.36080665813064,30.255147247119112,1.1995288175169077,4,2018-12-01
Chandkheda,28.092804097311166,27.12096030729837,29.39773367477595,1.0013414650754386,4,2019-01-01
Chandkheda,31.649782330345737,27.694993597951377,34.729231754161354,3.05722864264119,4,2019-02-01
Chandkheda,40.03777208706789,35.60387964148529,44.39258642765689,3.8208478253740736,4,2019-03-01
Chandkheda,44.837067861715774,43.43453265044816,46.33340588988479,1.4517113145954414,3,2019-04-01
Chandkheda,43.49969270166456,41.87074263764408,44.65386683738799,1.2422467183870427,4,2019-05-01
Chandkheda,38.345042680324404,36.31401195049086,41.52590268886047,2.4818696914308718,4,2019-06-01
Chandkheda,35.24454618879704,33.78102977061984,36.19487409304314,1.1309296029764846,4,2019-07-01
Chandkheda,33.51200356127629,31.49000000000001,35.1453649167734,1.7440523947107367,4,2019-08-01
Chandkheda,33.85655825864279,33.30421254801539,34.4089039692702,0.475383497468674,4,2019-09-01
Chandkheda,33.82612462654719,30.705774647887367,36.55145966709349,2.9427938998411607,3,2019-10-01
Chandkheda,31.884731113956494,30.56193341869401,32.59104993597953,0.9237385624669651,4,2019-11-01
Chandkheda,27.265556978233068,25.576171574904,28.50275288092195,1.2509937144939274,4,2019-12-01
Chandkheda,26.45026888604357,24.47250960307303,28.781472471190806,2.003699971540126,4,2020-01-01
Chandkheda,31.767253521126783,28.439910371318827,34.16907810499364,2.4599245937723087,4,2020-02-01
Chandkheda,37.07545454545458,34.068335467349584,41.4202944942382,3.1158385469084076,4,2020-03-01
Chandkheda,43.837976952624864,42.27353393085789,45.089257362356,1.2101714950185853,4,2020-04-01
Chandkheda,44.94342723004698,44.44982074263766,45.35952624839952,0.45977884099102095,3,2020-05-01
Chandkheda,37.70024408953726,35.37182142857146,39.32024327784895,1.9378844142312543,4,2020-06-01
Chandkheda,30.968000000000032,30.27800000000004,31.910000000000025,0.6990240816071059,4,2020-07-01
Chandkheda,30.631366071428605,29.15000000000004,33.947464285714304,2.2319469693808487,4,2020-08-01
Chandkheda,34.18181818181822,33.46797695262489,35.33645326504485,0.8152728318566991,4,2020-09-01
Chandkheda,36.164558258642806,34.11104993597955,37.4135083226633,1.4992876811469642,4,2020-10-01
Chandkheda,32.028403755868574,31.500627400768288,32.3625992317542,0.46244353920391873,3,2020-11-01
Chandkheda,29.093303457106316,27.00994878361081,32.021651728553174,2.2395811365390466,4,2020-12-01
Chandkheda,27.817983354673522,26.71010243277851,29.0339948783611,1.0816746047266228,4,2021-01-01
Chandkheda,33.37457106274011,29.311715749039724,37.45017925736241,3.4883258293633053,4,2021-02-01
Chandkheda,39.718008962868154,37.40454545454548,41.96536491677341,2.1177676668222745,4,2021-03-01
Chandkheda,43.11450704225356,42.831664532650464,43.47335467349557,0.3275273165721673,3,2021-04-01
Chandkheda,39.97198463508326,34.58236875800261,44.52551856594113,4.841492732103446,4,2021-05-01
Chandkheda,34.753476312420005,34.12887323943664,35.365979513444344,0.5334620607459046,4,2021-06-01
Chandkheda,36.79506402048659,35.583482714468666,38.006645326504525,1.0427631601741474,4,2021-07-01
Chandkheda,34.73693021766969,33.160320102432806,37.04359795134447,1.6732318084700788,4,2021-08-01
Chandkheda,35.25579385403333,34.18311139564664,36.328476312420015,0.9232180660223267,4,2021-09-01
Chandkheda,34.51413999146397,34.19601792573627,34.74382842509606,0.28441073514623505,3,2021-10-01
Chandkheda,32.80094750320105,32.13297055057621,33.3954801536492,0.5646332803096037,4,2021-11-01
Chandkheda,27.48843170429474,24.69816983894584,28.837733674775954,1.9494698504191126,4,2021-12-01
Chandkheda,26.01548043444081,22.81906530089633,28.6087719298246,2.7320936796539232,4,2022-01-01
Chandkheda,32.4036363636364,29.23028169014089,35.1630601792574,2.662944546598968,4,2022-02-01
Chandkheda,40.510620998719624,37.76951344430221,42.97860435339312,2.132730412021867,4,2022-03-01
Chandkheda,44.48702944942385,43.35545454545457,46.31499359795138,1.5979475384898376,3,2022-04-01
Chandkheda,40.6370934699104,38.14206145966712,42.366389244558285,1.9728665961431766,4,2022-05-01
Chandkheda,38.03000128040977,36.979167733674814,39.454327784891206,1.2133949859246704,4,2022-06-01
Chandkheda,37.27630473751604,37.14896030729837,37.40364916773372,0.1096006349922956,4,2022-07-01
Chandkheda,37.61588988476316,37.488545454545495,37.74323431498084,0.10960063499229514,4,2022-08-01
Chandkheda,33.97640845070427,30.60142125480158,37.828130601792616,3.2611174764895394,4,2022-09-01
Chandkheda,35.34820742637648,35.31927016645331,35.37714468629966,0.028937259923177194,3,2022-10-01
